YES;NO
@zaiapresidente;@NichiVendola
@matteosalvinimi;@robersperanza
@matteorenzi;@ignaziomarino
@meb;@virginiaraggi
@Giorgiolaporta;@beppe_grillo
@serracchiani;@renatobrunetta
@EnricoLetta;@SenatoreMonti
@PaoloGentiloni;@berlusconi
@PietroGrasso;@gasparripdl
@mariannamadia;@mara_carfagna
@pdnetwork;@BSaltamartini
@angealfa;@GiorgiaMeloni
@emanuelefiano;@matteosalvinimi
@ale_moretti;@carlosibilia
@dariofrance;@luigidimaio
@AlessiaMorani;@GiuliaDiVita
@fabriziobarca;@Roberto_Fico
@graziano_delrio;@PaolaTavernaM5S
@nzingaretti;@GiancarloCanc
@BeppeSala;@GiuliaSarti86
@giorgio_gori;@pbersani
Giorgio Napolitano;@civati
Piero Grasso;Renato Schifani
Franco Marini;Fausto Bertinotti
Marcello Pera;Gianfranco Fini
Laura Boldrini;Irene Pivetti
Pier Ferdinando Casini;Silvio Berlusconi
Luciano Violante;Massimo D'Alema
Matteo Renzi;Ciriaco De Mita
Giuliano Amato;Lamberto Dini
Enrico Letta;Mario Monti
Romano Prodi;Pier Luigi Bersani
Pier Carlo Padoan;Umberto Bossi
Angelino Alfano;Renato Brunetta
Maria Elena Boschi;Roberto Calderoli
Carlo Calenda;Mara Carfagna
Enrico Costa;Roberto Castelli
Graziano Delrio;Paolo Cirino Pomicino
Dario Franceschini;Antonio Di Pietro
Gian Luca Galletti;Raffaele Fitto
Paolo Gentiloni;Giovanni Maria Flick
Stefania Giannini;Franco Frattini
Beatrice Lorenzin;Giancarlo Galan
Marianna Madia;Maurizio Gasparri
Maurizio Martina;Mariastella Gelmini
Andrea Orlando;Carlo Giovanardi
Pier Carlo Padoan;Ignazio La Russa
Roberta Pinotti;Roberto Maroni
Giuliano Poletti;Altero Matteoli
Fabrizio Barca;Giorgia Meloni
Emma Bonino;Letizia Moratti
Paolo De Castro;Nitto Francesco Palma
Cesare Damiano;Stefania Prestigiacomo
Linda Lanzillotta;Gaetano Quagliariello
Maurizio Lupi;Paolo Romani
Giuseppe Fioroni;Gianfranco Rotondi
Giovanna Melandri;Claudio Scajola
Arturo Parisi;Giulio Tremonti
Francesco Rutelli;Michele Emiliano
Stefano Bonaccini;Roberto Maroni
Luca Ceriscioli;Giovanni Toti
Sergio Chiamparino;Luca Zaia
Rosario Crocetta;Roberto Formigoni
Vincenzo De Luca;Raffaele Fitto
Catiuscia Marini;Renata Polverini
Mario Oliverio;Nichi Vendola
Francesco Pigliaru;Chiara Appendino
Augusto Rollandin;Dario De Luca
Enrico Rossi;Luigi de Magistris
Ugo Rossi (PATT);Roberto Dipiazza
Debora Serracchiani;Marco Doria
Nicola Zingaretti;Clemente Mastella
Giuseppe Sala;Leoluca Orlando
Walter Veltroni;Virginia Raggi
Antonio Battista;Gianni Alemanno
Enzo Bianco;Letizia Moratti
Luigi Brugnaro;Luigi Di Maio
Massimo Cialente;Daniela Santanchè
Antonio Decaro;Antonio Angelucci
Valeria Mancinelli;Eleonora Bechis
Virginio Merola;Deborah Bergamini
Dario Nardella;Michaela Biancofiore
Giuseppe Sala;Annagrazia Calabria
Flavio Tosi;Daniele Capezzone
Massimo Cacciari;Giuseppe Civati
Piero Fassino;Massimiliano Fedriga
Giuliano Pisapia;Alessandro Di Battista
Walter Veltroni;Luigi Di Maio
Sandro Gozi;Stefano Fassina
Ferdinando Adornato;Claudio Fava
Paola Binetti;Nicola Fratoianni
Lorenza Bonaccorsi;Roberto Fico
Rocco Buttiglione;Nunzia De Girolamo
Salvatore Capone;Gabriella Giammanco
Maria Chiara Carrozza;Alberto Giorgetti
Mario Catania;Giancarlo Giorgetti
Andrea Causin;Marta Grande
Fabrizio Cicchitto;Antonio Martino
Gianni Cuperlo;Guglielmo Picchi
Lorenzo Dellai;Stefania Prestigiacomo
Marco Fedi;Laura Ravetto
Emanuele Fiano;Arcangelo Sannicandro
Roberto Giachetti;Daniela Santanchè
Sandro Gozi;Elio Vito
Lorenzo Guerini;Marco Follini
Pia Elda Locatelli;Roberto Zaccaria
Marco Meloni;Franco Carraro
Alessia Morani;Gian Marco Centinaio
Michele Nicoletti;Emilio Floris
Matteo Orfini;Paolo Galimberti
Giovanna Palma;Maurizio Gasparri
Lapo Pistelli;Niccolò Ghedini
Paola Pinna;Corradino Mineo
Lia Quartapelle;Lucio Malan
Barbara Pollastrini;Marco Marin
Andrea Romano;Altero Matteoli
Gessica Rostellato;Michela Montevecchi
Francesco Saverio Romano;Mariarosaria Rossi
Daniela Sbrollini;Matteo Salvini
Ivan Scalfarotto;Alessandra Mussolini
Marina Sereni;Matteo Salvini
Elisa Simoni;AIROLA Alberto
Bruno Tabacci;BERTOROTTA Ornella
Liliana Ventricelli;BLUNDO Rosetta Enza
Valentina Vezzali;BOTTICI Laura
Alessandro Zan;BUCCARELLA Maurizio
Enrico Zanetti;BULGARELLI Elisa
Peppino Calderisi;CAPPELLETTI Enrico
Mariotto Segni;CASTALDI Gianluca
Anna Finocchiaro;CATALFO Nunzia
Paolo De Castro;CIAMPOLILLO Alfonso
Piero Aiello;CIOFFI Andrea
Donatella Albano;COTTI Roberto
Silvana Amati;CRIMI Vito Claudio
Sandro Bondi;DONNO Daniela
Elena Cattaneo;ENDRIZZI Giovanni
Felice Casson;FATTORI Elena
Antonio De Poli;GAETTI Luigi
Benedetto Della Vedova;GIARRUSSO Mario Michele
Giuseppe Esposito;GIROTTO Gianni
Anna Finocchiaro;LEZZI Barbara
